공장,예측일,항목,예측값,실측값,오차(%),생산량(kg),생성일시,갱신일시
남양주2,2026-04-15T00:00:00.000,전력,87655.5,86112,1.79,214356,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-14T00:00:00.000,연료,5151.6,5185,0.64,246880,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-14T00:00:00.000,용수,1142.61,1211,5.65,246880,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-14T00:00:00.000,전력,92229.77,89712,2.81,246880,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-13T00:00:00.000,연료,5037.97,5097,1.16,150837,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-13T00:00:00.000,용수,1046.26,1068,2.04,150837,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-13T00:00:00.000,전력,79372.18,79128,0.31,150837,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-10T00:00:00.000,연료,4940.6,4550,8.58,217038,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-10T00:00:00.000,용수,1055.84,1009,4.64,217038,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-10T00:00:00.000,전력,85629.02,82728,3.51,217038,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-09T00:00:00.000,연료,5691.34,5645,0.82,196331,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-09T00:00:00.000,용수,1114.93,910,22.52,196331,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-09T00:00:00.000,전력,84549.3,76536,10.47,196331,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-08T00:00:00.000,연료,5305.16,5994,11.49,221630,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-08T00:00:00.000,용수,1158.63,1316,11.96,221630,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-08T00:00:00.000,전력,87082.5,82080,6.09,221630,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-07T00:00:00.000,연료,5558.87,6036,7.9,248471,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-07T00:00:00.000,용수,1193.3,1260,5.29,248471,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-07T00:00:00.000,전력,87976.27,89280,1.46,248471,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-06T00:00:00.000,연료,5177.06,5048,2.56,186067,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-06T00:00:00.000,용수,1207.98,1171,3.16,186067,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-06T00:00:00.000,전력,85969.8,80352,6.99,186067,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-03T00:00:00.000,연료,4988.43,4616,8.07,247768,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-03T00:00:00.000,용수,809.6,981,17.47,247768,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-03T00:00:00.000,전력,88062.82,92232,4.52,247768,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-02T00:00:00.000,연료,5625.41,5451,3.2,235394,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-02T00:00:00.000,용수,1131.87,1136,0.36,235394,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-02T00:00:00.000,전력,87900.61,89424,1.7,235394,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-01T00:00:00.000,연료,5412.51,6347,14.72,273224,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-01T00:00:00.000,용수,1169.29,1289,9.29,273224,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
남양주2,2026-04-01T00:00:00.000,전력,92482.09,87768,5.37,273224,2026-04-22T11:36:05.000,2026-05-15T15:19:54.000
