plant,target,item_code,n_obs,nonzero_days,coverage,r_raw_train,r_resid_train,abs_r_resid,pass_threshold
김해,전력,220051,499,237,0.4749498997995992,-0.03393337606973593,-0.19019838202390027,0.19019838202390027,False
김해,전력,220032,499,498,0.9979959919839679,0.29900646425954286,0.10230803404458762,0.10230803404458762,False
김해,전력,220068,499,488,0.9779559118236473,0.20487210471405318,0.10056532348488692,0.10056532348488692,False
김해,전력,220143,499,408,0.8176352705410822,0.03148396466106227,0.08270532368455373,0.08270532368455373,False
김해,전력,223518,499,202,0.40480961923847697,0.017075107191199503,-0.052482354551518944,0.052482354551518944,False
김해,전력,223524,499,297,0.5951903807615231,0.006753055551456599,0.009652148694628741,0.009652148694628741,False
김해,전력,220022,499,296,0.593186372745491,0.03884613596282859,0.008531207209780976,0.008531207209780976,False
김해,전력,223103,499,252,0.5050100200400801,0.047881952265773686,0.002935105731829632,0.002935105731829632,False
남양주1,연료,213137,499,343,0.687374749498998,-0.2725852823071709,-0.35720034724539285,0.35720034724539285,True
남양주1,연료,222051,499,466,0.9338677354709419,-0.12274486620158306,-0.1800565614139351,0.1800565614139351,False
남양주1,연료,220184,499,488,0.9779559118236473,0.04251852789390484,0.13104087055876268,0.13104087055876268,False
남양주1,연료,220006,499,499,1.0,-0.14713826476398534,-0.08794171315318342,0.08794171315318342,False
남양주1,연료,210417,499,339,0.6793587174348698,0.06284740861212833,-0.05643997129279063,0.05643997129279063,False
남양주1,연료,220114,499,303,0.6072144288577155,-0.09425121219023502,-0.04809000559336374,0.04809000559336374,False
남양주1,연료,220022,499,426,0.8537074148296593,-0.0038756844713595104,-0.046453910637488736,0.046453910637488736,False
남양주1,연료,220007,499,397,0.7955911823647295,-0.0893560343578456,-0.038766486339723405,0.038766486339723405,False
남양주1,용수,210405,499,341,0.6833667334669339,-0.07884837823297677,-0.23661928121215905,0.23661928121215905,True
남양주1,용수,220184,499,488,0.9779559118236473,0.34754377162406314,0.1573832469431935,0.1573832469431935,False
남양주1,용수,220007,499,397,0.7955911823647295,-0.1591077182226284,-0.1486263061999469,0.1486263061999469,False
남양주1,용수,220006,499,499,1.0,0.11026379129060762,-0.13644417423041091,0.13644417423041091,False
남양주1,용수,213137,499,343,0.687374749498998,-0.04483004902834819,-0.12347563727293147,0.12347563727293147,False
남양주1,용수,220022,499,426,0.8537074148296593,0.25714870380943394,0.1047721941518431,0.1047721941518431,False
남양주1,용수,220114,499,303,0.6072144288577155,0.1470423427642822,0.10474604339388173,0.10474604339388173,False
남양주1,용수,222051,499,466,0.9338677354709419,-0.019431081131712817,-0.031231007363383884,0.031231007363383884,False
남양주1,전력,210376,499,339,0.6793587174348698,0.5727047637959864,0.5722772883690853,0.5722772883690853,True
남양주1,전력,210405,499,341,0.6833667334669339,0.5176565512614129,0.5242111815843188,0.5242111815843188,True
남양주1,전력,213137,499,343,0.687374749498998,0.2723620988336657,0.3053361094490572,0.3053361094490572,True
남양주1,전력,222051,499,466,0.9338677354709419,0.11609320136680339,0.13423270217711422,0.13423270217711422,False
남양주1,전력,220184,499,488,0.9779559118236473,0.060387155710355966,-0.11908933338558987,0.11908933338558987,False
남양주1,전력,220006,499,499,1.0,0.2396622663369803,0.10026127387051806,0.10026127387051806,False
남양주1,전력,220022,499,426,0.8537074148296593,0.15503276000887348,0.08248506307558057,0.08248506307558057,False
남양주1,전력,220007,499,397,0.7955911823647295,-0.06537742679368536,-0.05654217733611529,0.05654217733611529,False
남양주2,연료,210417,499,339,0.6793587174348698,0.33057944511968435,0.23962826095174553,0.23962826095174553,True
남양주2,연료,210376,499,339,0.6793587174348698,0.3464291048378356,0.17926039430480045,0.17926039430480045,False
남양주2,연료,210405,499,341,0.6833667334669339,0.40458050445959914,0.1729764747876147,0.1729764747876147,False
남양주2,연료,220184,499,488,0.9779559118236473,-0.02663021396503831,-0.13273287916822715,0.13273287916822715,False
남양주2,연료,220006,499,499,1.0,-0.021890340705585334,-0.07688782789691694,0.07688782789691694,False
남양주2,연료,213137,499,343,0.687374749498998,0.22866140365703805,0.06654550997826036,0.06654550997826036,False
남양주2,연료,222051,499,466,0.9338677354709419,0.16540445693045114,0.03992671487914993,0.03992671487914993,False
남양주2,연료,220022,499,426,0.8537074148296593,0.17547498663577552,0.019387501698873186,0.019387501698873186,False
남양주2,용수,210376,499,339,0.6793587174348698,0.4861736640456107,0.22474549869406205,0.22474549869406205,True
남양주2,용수,210405,499,341,0.6833667334669339,0.4997725284004976,0.21926491428093078,0.21926491428093078,True
남양주2,용수,250071,499,249,0.49899799599198397,0.36889028421179393,0.14119925862753357,0.14119925862753357,False
남양주2,용수,210198,499,241,0.48296593186372744,0.21407023546686685,0.07622414194926436,0.07622414194926436,False
남양주2,용수,222051,499,466,0.9338677354709419,0.16831892689415615,0.05337445354052847,0.05337445354052847,False
남양주2,용수,220006,499,499,1.0,0.11768166605080638,0.04759945742785867,0.04759945742785867,False
남양주2,용수,220184,499,488,0.9779559118236473,0.0024116275940600593,-0.029002812304138148,0.029002812304138148,False
남양주2,용수,213137,499,343,0.687374749498998,0.20919506335341165,-0.006299436949603916,0.006299436949603916,False
남양주2,전력,210376,499,339,0.6793587174348698,0.7247604951077399,0.4321837871946634,0.4321837871946634,True
남양주2,전력,210405,499,341,0.6833667334669339,0.6843532332434163,0.38061783430783885,0.38061783430783885,True
남양주2,전력,210198,499,241,0.48296593186372744,0.3444730546833988,0.24754436404021496,0.24754436404021496,True
남양주2,전력,250071,499,249,0.49899799599198397,0.4528779675002021,0.17462953733918735,0.17462953733918735,False
남양주2,전력,213137,499,343,0.687374749498998,0.38386252012500677,0.1587992413069408,0.1587992413069408,False
남양주2,전력,220184,499,488,0.9779559118236473,-0.07309339218664945,-0.14422488276084083,0.14422488276084083,False
남양주2,전력,222051,499,466,0.9338677354709419,0.19490191619091998,0.1025031818953761,0.1025031818953761,False
남양주2,전력,220006,499,499,1.0,0.16120601414027055,0.030160217036830753,0.030160217036830753,False
논산,연료,210577,499,325,0.6513026052104208,0.4643626906618607,0.352084230970763,0.352084230970763,True
논산,연료,210405,499,176,0.3527054108216433,0.35642139776012316,0.21269010602220775,0.21269010602220775,True
논산,연료,220059,499,401,0.8036072144288577,0.33143212702111896,0.16899494030204126,0.16899494030204126,False
논산,연료,222053,499,403,0.8076152304609219,0.02632920078798707,-0.16726437583607343,0.16726437583607343,False
논산,연료,213137,499,326,0.6533066132264529,0.30899337886246087,0.13608964351284744,0.13608964351284744,False
논산,연료,220006,499,468,0.9378757515030061,0.29122114281810263,0.05999063498319617,0.05999063498319617,False
논산,용수,210376,499,216,0.43286573146292584,0.4034945123729696,0.2437393080103861,0.2437393080103861,True
논산,용수,213137,499,326,0.6533066132264529,0.36287675842024136,0.19680463013955168,0.19680463013955168,False
논산,용수,210405,499,176,0.3527054108216433,0.32360056922985225,0.1576233531616892,0.1576233531616892,False
논산,용수,210508,499,326,0.6533066132264529,0.2997407553470854,0.1008426429056742,0.1008426429056742,False
논산,용수,210634,499,231,0.46292585170340683,0.18305409576406456,0.09028712930480023,0.09028712930480023,False
논산,용수,220059,499,401,0.8036072144288577,0.21125367573079978,0.08953550729837151,0.08953550729837151,False
논산,용수,220006,499,468,0.9378757515030061,0.1840755965876934,0.004604485936682348,0.004604485936682348,False
논산,용수,222053,499,403,0.8076152304609219,0.1479408864309399,0.00011241592896943393,0.00011241592896943393,False
논산,전력,210376,499,216,0.43286573146292584,0.4880520652618913,0.30808485940599134,0.30808485940599134,True
논산,전력,210577,499,325,0.6513026052104208,0.2976992782574472,0.20231866631400924,0.20231866631400924,True
논산,전력,213137,499,326,0.6533066132264529,0.32319867081069137,0.15257425406159353,0.15257425406159353,False
논산,전력,210405,499,176,0.3527054108216433,0.29496603515244696,0.13187276744250218,0.13187276744250218,False
논산,전력,222053,499,403,0.8076152304609219,0.11636437841713322,-0.09003405885820895,0.09003405885820895,False
논산,전력,220059,499,401,0.8036072144288577,0.06391527459446233,-0.08018817297991544,0.08018817297991544,False
논산,전력,210634,499,231,0.46292585170340683,0.1321846838114375,0.0659922320874668,0.0659922320874668,False
논산,전력,220006,499,468,0.9378757515030061,0.13274452236770923,-0.004042441995677943,0.004042441995677943,False
