ItemCode,item_name,unit,source_plants
223343,아카페라스페셜티컵카라멜 300 믹스,BT,김해
223351,오늘의커피 카페라떼,BT,김해
223352,오늘의커피 바닐라라떼,BT,김해
223354,바닐라맛우유믹스(수출용T/P),BT,김해
223374,닥터캡슐 프로텍트 공통믹스,BT,광주
223394,커피맛우유믹스(미국),BT,김해
223513,바나나키베이스(자연과사람들),KG,김해
223515,요플레 그릭 믹스,BT,광주
223516,춘식이딸기 믹스,BT,"남양주1,남양주2"
223517,춘식이바나나 믹스,BT,"남양주1,남양주2"
223518,춘식이커피 믹스,BT,김해
223519,Only 3 플레인 믹스,BT,광주
223520,바나나맛우유 B-grade 믹스,BT,김해
223521,딸기맛우유 B-grade 믹스,BT,김해
223522,타로맛우유(수출용) 믹스,BT,김해
223524,메로나맛우유믹스,BT,김해
223525,요플레딸기(기내식반제품)-광주,CS2,광주
223526,바이오 믹스 (포도),BT,김해
223527,바이오 펙틴(포도),BT,김해
223535,요플레 플레인 화이트 락토프리 믹스,BT,"남양주1,남양주2"
223539,밤맛우유(수출용) 믹스,BT,김해
223540,퇴근커피 카라멜라떼 믹스,BT,김해
223541,출근커피 바닐라라떼 믹스,BT,김해
223543,무가당 바나나맛우유 믹스,BT,"남양주1,남양주2"
223546,요플레 제로 믹스,BT,"남양주1,남양주2"
223547,믹스-더단백 워터프로틴CUP 복숭아,BT,김해
223548,990딸기믹스,BT,"남양주1,남양주2"
223549,990초코믹스,BT,김해
223558,요플레 오리지널 믹스 (R),BT,"남양주1,남양주2"
223561,맛점커피 바나나라떼 믹스,BT,김해
223562,오늘의커피 연유라떼 믹스,BT,김해
223564,춘식이멜론 믹스,BT,"남양주1,남양주2"
223568,대용량우유 믹스,BT,"남양주1,남양주2"
223573,믹스-빙그레 제로 아이스티 복숭아,BT,김해
223574,믹스-빙그레 제로 아이스티 샤인머스캣,BT,김해
223579,더단백드링크 초코믹스,BT,김해
223582,믹스-쥬시쿨 에이드 금귤&감귤,BT,김해
223583,믹스-쥬시쿨 에이드 사과,BT,김해
223584,더단백드링크 민트초코 믹스,BT,김해
223585,포비 광화문라떼 믹스,BT,김해
223586,포비 플랫화이트 믹스,BT,김해
223588,춘식이피스타치오초코 믹스,BT,"남양주1,남양주2"
240002,꽃게랑400펠렛,BT,광주
240003,스모키펠렛,BT,광주
240004,야채타임(백색)펠렛,BT,광주
240009,야채타임(녹색)펠렛,BT,광주
240010,야채타임(주황색)펠렛,BT,광주
240024,꽃게랑 불짬뽕펠렛,BT,광주
240025,꽃게랑WASABI펠렛,BT,광주
242101,쟈키쟈키 갈버스 펠렛,BT,광주
242201,꽃게랑 간장펠렛,BT,광주
250071,더위사냥 커피 믹스 B,BT,"남양주1,남양주2,김해"
251043,끌 베리믹스바 믹스(M),BT,"남양주1,남양주2"
251044,끌 에스프레소바 믹스(M),BT,"남양주1,남양주2"
251045,끌 쿠앤크바 믹스(M),BT,"남양주1,남양주2"
251062,끌 쇼콜라치즈케익컵 믹스,BT,"남양주1,남양주2"
251090,끌 쿠키앤초코바 믹스,BT,"남양주1,남양주2"
251091,끌 클린초코 믹스,BT,"남양주1,남양주2"
251112,끌 치즈케익컵 기본믹스N,BT,"남양주1,남양주2"
260014,탈지분유,KG,광주
260015,농축유,KG,"남양주1,남양주2,김해"
260016,생크림(냉동),KG,"남양주1,남양주2,광주"
260018,탈지유,KG,"남양주1,남양주2,광주"
260034,탈지유(수),KG,광주
260039,살균유,KG,"남양주1,남양주2,광주"
260042,유크림믹스,KG,"남양주1,남양주2,광주"
260043,유크림믹스(수),KG,광주
260047,생크림(냉장),KG,광주
260349,BOTTLE-닥터캡슐 1000,EA,광주
260351,살균탈지유(수),KG,광주
260352,살균탈지유,KG,광주
260353,메로나병(상),EA,김해
260355,고구마병(상),EA,광주
260356,고구마병(상)중국,EA,광주
