factory,target,item_code,nonzero_days,total_kg,pearson,spearman,mix_adjusted,pearson_lag1,item_name,category1,category2
광주,용수,122977,309,816763.0,0.11555995152133787,0.07077539949163109,0.10549804206983689,-0.00794292453064173,짜먹는키즈 딸기40(12)I,냉장,FM
광주,용수,122997,59,34593.0,0.11952129340301403,0.2068019086130118,0.10229526047502802,0.08035642165189139,요플레 딸기85(50)_기내식I,냉장,FM
광주,용수,130301,60,351817.0,0.08120100711497885,0.08296532781712715,0.09545263575956424,0.00941476369731064,쟈키쟈키70(16),상온,SN
광주,용수,123016,190,763342.0,0.13348014730757557,0.12709064148099772,0.08897438696825959,-0.021434256255099215,요플레 클래식16입85(32)I,냉장,FM
광주,용수,123023,177,1198485.0,0.1651916811480248,0.15185865282868793,0.0883042878481165,0.03457789193706745,닥터캡슐1000 베리믹스130(32)I,냉장,FM
광주,용수,123107,33,14828.0,0.06406376011647992,0.14331720252868488,0.08392911330880037,0.08729170072079027,닥터캡슐1000 복숭아4입130(32),냉장,FM
광주,용수,123024,142,230529.0,0.16778083223219928,0.165362139173396,0.08230915716699402,0.05714520718665147,닥터캡슐1000 베리믹스4입130(32)I,냉장,FM
광주,용수,123017,193,484920.0,0.1371710292128494,0.10352717649463077,0.0779106313722328,0.07347818915089013,요플레 그릭 플레인 멀티80(32)I,냉장,FM
광주,용수,123037,57,48670.0,-0.07352082320754784,-0.1070816289764512,-0.07316789540543589,-0.12858644204298048,닥터캡슐1000 복분자4입130(32)I,냉장,FM
광주,용수,130298,45,251501.0,0.04394906112392094,0.034986623355273756,0.06962238531825789,-0.034908271262131994,베이컨칩70(16),상온,SN
광주,용수,123020,234,960475.0,0.11969596863431313,0.09787794155788025,0.06705116408546485,0.015914491133645736,닥터캡슐1000 플레인4입130(32)I,냉장,FM
광주,용수,130334,31,44841.0,-0.04276271318496194,-0.058488245534732496,-0.064828095036585,-0.09439898497250525,꽃게랑WASABI 143(8),상온,SN
광주,용수,123036,100,290155.0,-0.042075536453880846,-0.02551468859702946,-0.0642974522214222,-0.17664538335882754,닥터캡슐1000 복분자130(32)I,냉장,FM
광주,용수,130294,199,1237136.0,0.14459859135747904,0.1330201877224891,0.06235362631984605,-0.0461695326485423,꽃게랑70(16),상온,SN
광주,용수,123007,235,160036.0,0.07486693739175712,0.14267962366181874,0.06114362602159057,-0.06897996213768595,요플레 플레인85(32)I,냉장,FM
광주,용수,122982,93,106396.0,-0.04766553398391705,-0.07495595793396631,-0.05230965155499816,-0.09007722530864519,요플레 딸기8입85(32)I,냉장,FM
광주,용수,130333,42,214708.0,-0.023585300658758683,-0.04886864774928435,-0.049777168292050804,-0.03597708533520124,꽃게랑WASABI 70(16),상온,SN
광주,용수,130295,82,122074.0,0.09363363372533892,0.09131620151549252,0.04285789748923148,0.03984321047774027,꽃게랑143(8),상온,SN
광주,용수,129999,73,387540.0,0.05479384806872002,0.0386274909532731,0.03916954167842681,-0.04538273477100543,생크림(35%)(수),냉장,FM
광주,용수,129998,54,259860.0,0.04895778307665837,0.04181989462925204,0.037763234706365126,-0.03798431706787348,탈지분유(수),냉장,FM
광주,용수,122983,161,562655.0,0.06362272812501381,0.05421015817021585,0.03738374281857535,0.07827158616562643,요플레 딸기16입85(32)I,냉장,FM
광주,용수,122974,212,692029.0,0.12164319504327167,0.10592005376774226,0.026387910499145788,0.04811880989593144,요플레 토핑 다크초코125(12)I,냉장,FM
광주,용수,122978,198,442151.0,0.08495388359002191,0.03984081561755325,-0.02202372792743566,-0.06286247060606194,짜먹는키즈 포도40(12)I,냉장,FM
광주,용수,122655,139,111815.0,0.05762976804629551,0.02795602981518052,0.020684913425369145,-0.03774096046839786,짜먹는요거바 딸기40(12)V,냉장,FM
광주,용수,122991,115,111041.0,0.04250742167736507,0.023604197539378282,0.016366069715842705,-0.17949590374398156,요플레 골드키위85(32)I,냉장,FM
광주,용수,130330,47,289340.0,0.05875277972128983,0.0500677671105115,0.01585188077694038,-0.013017464971597023,꽃게랑 불짬뽕70(16),상온,SN
광주,용수,122656,134,70778.0,0.0469346214735347,0.025249919497906868,0.010895464069306979,-0.12657267251174772,짜먹는요거바 포도40(12)V,냉장,FM
광주,용수,122976,211,721267.0,0.1169152410360184,0.10427935440691258,0.01047223456419266,0.03165331007266502,요플레 토핑 쿠앤크120(12)I,냉장,FM
광주,전력,122992,561,4434522.0,0.5271998799561445,0.358707589815526,0.5052135907330166,0.11594761116228801,요플레 8입멀티85(32)I,냉장,FM
광주,전력,122993,474,2554683.0,0.525702887336227,0.5300317908783595,0.47909437564513774,0.1334482265940051,요플레 10입멀티85(40)I,냉장,FM
광주,전력,122994,472,676984.0,0.440378342740017,0.4582127201010439,0.3937523279068719,0.17168977809114253,요플레 혼합85(32)I,냉장,FM
광주,전력,123015,450,3161523.0,0.3088648199339604,0.2912783009887894,0.32893444199675104,0.3025546401720852,요플레 클래식멀티85(32)I,냉장,FM
광주,전력,122977,309,816763.0,0.30288109822115694,0.2998325918297489,0.3080242838167195,0.20244298020968154,짜먹는키즈 딸기40(12)I,냉장,FM
광주,전력,122974,212,692029.0,0.35374112513912875,0.36853280097457636,0.3079400847770218,0.10204361267665009,요플레 토핑 다크초코125(12)I,냉장,FM
광주,전력,122976,211,721267.0,0.3304531666957247,0.3617194714570037,0.27597700474285913,0.07086270474479037,요플레 토핑 쿠앤크120(12)I,냉장,FM
광주,전력,130294,199,1237136.0,0.2955949648179538,0.3024870290786547,0.24930688497187956,-0.027835685305684237,꽃게랑70(16),상온,SN
광주,전력,122978,198,442151.0,0.2822768079232421,0.29155385893313784,0.22598993765087239,0.08034901124413253,짜먹는키즈 포도40(12)I,냉장,FM
광주,전력,123022,277,1227757.0,0.19501941425894265,0.1276406769568409,0.21586682692071327,0.14925027862160778,닥터캡슐1000 사과4입130(32)I,냉장,FM
광주,전력,123021,300,1747167.0,0.1930792847355948,0.1265282695882457,0.21169127522328857,0.14026558191393512,닥터캡슐1000 사과130(32)I,냉장,FM
광주,전력,123020,234,960475.0,0.2383251840532933,0.19909101305883914,0.20873841644631078,0.059291956482213505,닥터캡슐1000 플레인4입130(32)I,냉장,FM
광주,전력,123023,177,1198485.0,0.2561751760597213,0.2583851696058455,0.2069799330203588,0.0777727257635088,닥터캡슐1000 베리믹스130(32)I,냉장,FM
광주,전력,123016,190,763342.0,0.2309358387674527,0.21889054154465676,0.2045658841053105,-0.05019377863817625,요플레 클래식16입85(32)I,냉장,FM
광주,전력,123018,183,584634.0,0.224131339876567,0.24484559331457464,0.20013495667529457,0.14187263394979935,요플레 그릭 달지않은플레인 멀티80(32)I,냉장,FM
광주,전력,122655,139,111815.0,0.20887474024867103,0.19735508300309126,0.19424557297606515,0.04496491170244704,짜먹는요거바 딸기40(12)V,냉장,FM
광주,전력,123024,142,230529.0,0.2420901142025334,0.24135838539588364,0.18551441411894998,0.09248066896633407,닥터캡슐1000 베리믹스4입130(32)I,냉장,FM
광주,전력,122999,164,260853.0,0.19403971441200507,0.19201521301573968,0.1818198677037473,0.0967628456347276,요플레 블루베리85(50)_기내식I,냉장,FM
광주,전력,122986,140,269455.0,0.19844320162566018,0.19004858063605853,0.17430369451348396,0.061244404051777133,요플레 블루베리멀티85(32)I,냉장,FM
광주,전력,123019,241,1149103.0,0.19490630696740727,0.1636399800730464,0.1737376414743161,0.025956646307219007,닥터캡슐1000 플레인130(32)I,냉장,FM
광주,전력,123017,193,484920.0,0.2091216833153066,0.2602786478355095,0.1703990513578876,0.08273028598202647,요플레 그릭 플레인 멀티80(32)I,냉장,FM
광주,전력,123007,235,160036.0,0.17134530152047,0.1001231952822566,0.16750609190638197,0.06346094484201986,요플레 플레인85(32)I,냉장,FM
광주,전력,130295,82,122074.0,0.19599119745951565,0.2027697760628069,0.16681412990928624,0.031244772578833048,꽃게랑143(8),상온,SN
광주,전력,123068,96,119874.0,0.1879962833258769,0.17374142904612808,0.15316977638828236,-0.011846472078616685,요플레 토핑 초코링120(12),냉장,FM
